[Seq]: 1 | [RecvTime]: 2025-12-30 17:05:19 | [SendTime]: 2025-12-30 17:05:28 | [TotalDuration]: 8.991s | [RecvDuration]: 6.208s | [ModelDuration]: 2.782s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 2 | [RecvTime]: 2025-12-30 17:05:28 | [SendTime]: 2025-12-30 17:05:30 | [TotalDuration]: 2.124s | [RecvDuration]: 0.751s | [ModelDuration]: 1.372s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 3 | [RecvTime]: 2025-12-30 17:05:30 | [SendTime]: 2025-12-30 17:05:32 | [TotalDuration]: 2.250s | [RecvDuration]: 0.835s | [ModelDuration]: 1.415s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 4 | [RecvTime]: 2025-12-30 17:05:32 | [SendTime]: 2025-12-30 17:05:34 | [TotalDuration]: 2.003s | [RecvDuration]: 0.579s | [ModelDuration]: 1.423s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 5 | [RecvTime]: 2025-12-30 17:05:34 | [SendTime]: 2025-12-30 17:05:36 | [TotalDuration]: 2.160s | [RecvDuration]: 0.770s | [ModelDuration]: 1.390s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 6 | [RecvTime]: 2025-12-30 17:05:36 | [SendTime]: 2025-12-30 17:05:38 | [TotalDuration]: 2.007s | [RecvDuration]: 0.593s | [ModelDuration]: 1.413s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 7 | [RecvTime]: 2025-12-30 17:05:38 | [SendTime]: 2025-12-30 17:05:40 | [TotalDuration]: 2.028s | [RecvDuration]: 0.690s | [ModelDuration]: 1.337s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 8 | [RecvTime]: 2025-12-30 17:05:40 | [SendTime]: 2025-12-30 17:05:42 | [TotalDuration]: 1.861s | [RecvDuration]: 0.503s | [ModelDuration]: 1.357s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 9 | [RecvTime]: 2025-12-30 17:05:42 | [SendTime]: 2025-12-30 17:05:44 | [TotalDuration]: 2.123s | [RecvDuration]: 0.769s | [ModelDuration]: 1.353s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 10 | [RecvTime]: 2025-12-30 17:05:44 | [SendTime]: 2025-12-30 17:05:47 | [TotalDuration]: 2.123s | [RecvDuration]: 0.754s | [ModelDuration]: 1.368s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
[Seq]: 11 | [RecvTime]: 2025-12-30 17:05:47 | [SendTime]: 2025-12-30 17:05:49 | [TotalDuration]: 2.066s | [RecvDuration]: 0.690s | [ModelDuration]: 1.376s | [SendDuration]: 0.000s | [Instruction]: Your task is: follow the human. You are given a sequence of historical visual observations in temporal order (earliest first, latest last). Based on this sequence, predict your future movement trajectory. | [NumImages]: 10 | [Outputs]: None
